	comentario_texto	toxic
56598	Deje de usar direcciones IP anónimas para impulsar su punto de vista. Eres un marinero bloqueado. Gracias.	0
77149	El problema aparentemente está resuelto como ahora en el área de preparación 3. charla	0
47811	== Más información == Pienso antes de la tabla, que se debe incluir más información de las vistas de los videos, como los artistas más populares y otros ...	0
29320	. Ah, esto me trae recuerdos de cuando llevabas agua para Brian G. Crawford. ¿Por qué no ser sincero con su agenda aquí?	0
11133	esto no es cierto !!!	0
82094	gente ¡asegúrate de recoger tu basura! NO TIRAR BASURA	0
96760	para que pueda escapar o matarlos	0
93848	]] [[Charla del usuario: Bruce1ee / Archive 6 | Enero de 2012 - Diciembre de 2012	0
48040	¿Que quieres decir? ¿Y en qué se diferencia esto?	0
11764	Al menos parte de la información (por ejemplo, pies de página) es un duplicado de Elecciones en Australia. ¿Unir? '' '[contribuciones]	0
45798	3RR se revierte No me di cuenta de exagerar su informe 3RR, pero si lo hice sin darme cuenta, lo siento. Agregué el mío ahora por encima del tuyo. Gracias.	0
66456	Marcos. Tu semen no es viable. Si procreas, los niños serían homosexuales. No procrees a Mark, ya es suficiente.	1
55179	: No eres el jefe para decidir.	0
80348	Entonces, compadécete de mí. Pensé que Bgwhite estaba haciendo referencia a una conversión inmediata. Mandarax, realmente necesitas comenzar a ver mejores programas de televisión. O, mejor aún, ninguno. ::	0
50341	¿Tienes un británico? ¡Esto es para ti! 80.99.29.195	0
11215	. Consulte para obtener pruebas. Ver [registro de bloque] y bloqueos automáticos actuales .__ NOINDEX__	0
9752	Latín es lo mismo que inglés a la derecha. 66.131.190.6 _	0
35593	: Juegan en copas estatales, como Copa Paulista de Fútbol o Copa Santa Catarina. La mayoría de los estados tienen copas estatales.	0
36135	Terrorismo sionista ¿Por qué sigues todo el tiempo y estás alineado con tus amigos judíos? No se como te dejaron convertirte en administrador ??????????	0
31449	Eso es verdad. Lo moví a su lugar apropiado. ¿Está bien ahora?	0
56505	Charla REDIRECT: temporada 2007-08 SL Benfica	0
36098	No pude encontrar eso. ¿Podría citarme de la fuente, por favor?	0
45038	solo aquí para corregir errores de Qubo.	0
68191	== Cojo == Jesús. Qué banda tan tonta. Este artículo no refleja adecuadamente la monumental cojera del 'mantran'.	0
80224	Perdón por las molestias, Tim; uf, por eso me mantengo alejado de las imágenes. (Hablar)	0
24286	== ¡La chica más caliente evah! == Tan caliente, maldita sea, ella es hermosa. Me encantan sus atuendos de cachonda en el programa On the Lot. Ponga sus Tivo's en movimiento lento para obtener el máximo efecto.	0
8611	¡Gracias por tus amables palabras y por el barnstar! Me alegra saber que lo tienes funcionando y que lo hemos conseguido al final. hablar	0
45260	. MUCHO MOTIVO DADO DE QUITAR ESTA PLANTILLA Y BLOQUE SIN SENTIDO AHORA MISMO. ESTÁ VIOLANDO LA LIBERTAD DE EXPRESIÓN. ESTE ES EL HOST AMERICANO DE ESTE SITIO WEB. LA LEY ESTÁ A MI LADO.	0
75076	Bloqueado por vandalismo. No puedes usar Wikipedia para insultar a la gente. ()	0
31198	::::: Me llevé a Sarah Palin hace un tiempo ...	0
25374	Administradores, este es un servidor proxy utilizado por muchos usuarios de AOL; bloquee con precaución y solo por períodos cortos. El nombre de dominio es: cache-rtc-ac09.proxy.aol.com. 04:51, 1 de abril de 2005 (UTC)	0
25453	Ok, está bien, pero ¿ve un consenso existente para eliminarlo? ¿Hubo una discusión que me perdí?	0
32754	No. Pero las familias Arbuthnot menos famosas también están bien documentadas (un proyecto hecho posible por la rareza del nombre) y parece muy improbable que la carretera llevara el nombre de una de ellas. -	0
26052	No se me ocurren instancias; Seguro que hay algunos. Si son importantes para ti, estoy seguro de que puedes encontrar algunos. -	0
18431	== artículo de amputación chico == loco por ti	0
91897	Buena llamada. Gracias de nuevo.	0
68805	"""Respondí a tu comentario en mi página de discusión. ₪ - (T · C) """""""	0
76250	== Esav veYosef == Se necesita un tipo especial de persona para reclamar ofensa a una línea del Talmud. ¡Me reí bastante hoy!	0
79579	No ataques. Declaraciones verdaderas.	0
49628	¿Quién sigue menospreciando a Lil Eazy? no ha firmado todavía y probablemente no haya visto ese sitio web y no es creíble.	0
8710	¿Dejarás de llamarme KL o te molestaré como un murciélago al escuchar sonidos sónicos? Usuario: Puncharoo Lea mi página primero	0
15368	(UTC) El V proviene de la aviación (cf. Barco de apoyo logístico de aviación AVB) 02:21, 21 de enero de 2005	0
29699	También se relacionan con Lumumba, enjuiciamiento y juicio y, por tanto, con el asesinato.	0
90966	: Todavía sospecho que hay algo más banal detrás de todo esto, como las vibraciones superficiales debido al aumento del flujo de agua a través del sistema radicular. -	0
72198	No estoy de acuerdo, octeto es el término correcto y exacto, byte puede ser ambiguo.	0
69316	kjijkmuihmuhkmubnghftdbfvytf tfgvbtrdtgvtfv rtf tftf rtf ftr rf rf rtf	0
85523	Lamió la secreción verde del coño podrido de Phaedriel. V3N0M (ae)	1
73819	"""¿Qué """"ataques personales""""?"""	0
22362	Charla REDIRECT: Ian Richardson (futbolista, nacido en 1964)	0
92634	== Fabian Hassler: un terrorista == Fabian es una perra de Burger King	1
90672	* Fuerte apoyo por nom.	0
80989	discutido en WR Here, completo con referencias agregadas. Los pones.	0
40206	Lástima que no te hayas tomado un descanso antes.	0
24422	, 21 de abril de 2008 (UTC) ¿De qué carajo estás hablando? 11:47	1
26147	¡Esa es buena! Nunca antes había leído a Sheridan Poorly. Sí, de hecho. La homeopatía es el mejor amigo del hipocondríaco.	0
21823	Nadie argumentó que el contenido de la sección Críticas debería eliminarse, sino que debería integrarse en el resto del artículo.	0
43022	Solo para hablar Leí tu página de usuario, ¡sabes que soy como tú! Encuentro que la mayoría de las páginas de Talk con temas controvertidos son las más interesantes.	0
61809	¿Podría ser este el origen de la popular serie de juegos 'Halo'?	0
21431	. No aportarás nada constructivo a esta discusión y esto está claro	0
31567	Jutras, no puedo esperar a que salga este juego. ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡D	0
86813	A Dawnseeker2000, por favor, explique la acción de revertir la parte de Taiwán. Si sigue actuando de manera grosera sin razón, lo veo en la bomba de Village	0
29619	Por favor, explique la reversión. ¿Qué pasa con esto? Estaba tratando de ayudar ...	0
19311	"""(el usuario, por supuesto, ha apoyado previsiblemente sus acusaciones contra mí en AN / I diciendo que """"protesto demasiado"""")"""	0
39702	: y gracias.	0
48013	si no haces ejercicio te pondrás GRANDE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!	0
18713	== 15 de noviembre == Página eliminada ¡Soy GAY !. Parece que tienes problemas. Le sugiero que hable de ello con alguien en quien confíe.	0
38573	:: Además, varios lingüistas transcriben vocales altas largas para ciertos idiomas como / ij /, / uw /, etc. se parece mucho a ese estilo de transcripción. -	0
59947	Gracias, de alguna manera leí el párrafo como indicando que él representaba a Australia del Sur en la legislatura australiana. 69.111.194.167	0
79605	Mi artículo necesita los ojos y los oídos de un espectador no economista. ¿Alguna sugerencia? ¡¿Cualquiera?! Goldlionist	0
98707	Se pueden encontrar referencias detalladas de hecho por hecho para este artículo en: Discusión: Estados Unidos / Referencias.	0
73500	Lo pones en la página de aviso de edición de esa página. En el caso de esta página, es en Charla de usuario: Spinningspark / Editnotice. [[Charla del usuario: Spinningspark | Spark]] ''	0
16585	Disculpe, originalmente tenía un resumen de edición, debido a un problema de conexión, lo dejé inadvertidamente al volver a ingresar.	0
15135	y atacarme por razones falsas	0
51424	Por favor, no destroces las páginas, como hiciste con esta edición de Triassic. Si continúa haciéndolo, se le bloqueará la edición.	0
60426	cuidado con el usuario: xeno hell muerde tu polla !!!!	1
46339	. Por cierto TParis un mensaje diciendo que estaba bloqueado podría haber sido útil	0
63627	Estos tienen menciones de él:.	0
50887	La página de la escuela para los últimos dice que no pude acceder a la página web de la escuela. Pensé que la habían cerrado, pero ya está. http://www.corpus.pa.net/	0
78912	Gracias -) Extraño Nueva Zelanda pero tengo mucho que hacer aquí. Te veremos por ahí.	0
20800	Por favor, no destroces las páginas, como hiciste con esta edición de Resiliencia psicológica. Si continúa haciéndolo, se le bloqueará la edición.	0
20430	Sí, contraproducente es una muy buena palabra para eso y creo que estás en el dinero con respecto a Imagine ser proxeneta. Me lo estoy pasando genial viendo cómo se desarrolla esto.	0
67716	== Estación de Flinders Street == Por favor, no hagas ediciones estúpidas. Estamos construyendo una enciclopedia. Si vuelve a hacer ese tipo de cosas, es probable que se bloquee la edición.	1
17283	opinión / origen En mi opinión, la barra de labios se originó por la colocación de excrementos vaginales en los labios de las mujeres.	1
58764	Donde que cuando Si es reciente o no a propósito, si es a propósito, no está dentro del rango de memoria. ¿Hoy dia? Primetech	0
94634	hmm, quiero hacer algunas ediciones sobre la batalla de kursk, ¿es posible que alguien revise mi solicitud?	0
5340	¿Correo no deseado? ¿Cómo es un enlace a wikihow (algo que no publiqué) un enlace de spam en wikipedia? Inherentemente se complementan entre sí, son propiedad de la misma organización ... ¿No piensas antes de escribir?	0
98186	Deje de eliminar contenido de Wikipedia. Se considera vandalismo. Si desea experimentar, utilice la caja de arena. Gracias. ∴	0
82142	- Comentario anterior sin firmar agregado por 108.10.232.126 08:16, 5 de diciembre de 2013	0
75022	Agregué el cuadro de información convertido al artículo. Usuario: Docu	0
52318	perdedor con cara de mierda, maldito idiota	1
73405	== Somalilandia == Si bien el tema está en discusión, no es apropiado bromear con artículos.	0
86346	== materia médica == Si alguien tiene tiempo para traducir japonés, entonces ... (本草 和 名 Honzō Wamyō?), podría ser una buena traducción aquí.	0
60731	== Mill Creek == Se ve bien a primera vista. Regresaré mañana, leeré con atención y publicaré comentarios en la página de discusión del artículo, si lo desea.	0
67216	Creo que Cyde está siendo más que justo. Merecat debería haber sido arrancado hace mucho tiempo.	0
39043	::: como administrador eres estúpido idiota	1
18133	De ahí que cuelgue un cuento, en realidad. Comí mi primera hamburguesa hace aproximadamente un año. Y no, no era vegetariano antes de eso.	0
77962	jajaja. No ellos no fueron. Solo mira la página de historia vikinga de la BBC, etc. Explica quién era Norwegains y quién era Danes Comanche CPH.	0
9233	hecho y semiprotegido.	0
69173	== Línea T1 == == TDM == Phương pháp ghép kênh phân chia thời gian	0
16607	Tenga en cuenta que he revertido la última edición de	0
37278	Charla REDIRECT: Rosemary SJ Schraer	0
1778	Tómatelo con calma, Dennis Brown, alguien acaba de hackear mi cuenta de wikipedia y está escribiendo todo esto, voy a cambiar mi contraseña para que no vuelva a entrar. 26 de abril	0
23741	Charla REDIRECT: Tranvías en Opatija	0
12203	(ese programa también ha sido cancelado o en pausa en EE. UU., y debido a esto, probablemente nunca saldrá al aire en América Latina)	0
68046	== Bonito == Wikipedia: artículos para supresión / terrorismo estadounidense	0
65908	¿Por qué no se agrega a la filmografía? Por lo que recuerdo, el presupuesto para el juego era bastante grande y jugó muy bien.	0
27095	Charla REDIRECT: Andrew J. Hinshaw	0
2226	De nada.	0
24800	Bien hecho, lo pasaré ahora. Podría valer la pena intentarlo en la FAC algún día. (hablar · contribuciones)	0
79629	De acuerdo, está bien, ya que los comentarios son sobre el single y no sobre el álbum. Agregaré los del álbum mañana.	0
75492	Stracciatella (en el sentido de helado de vainilla + chispas de chocolate irregulares) es un helado de vainilla no natural. Vainilla con modificaciones.	0
66247	Bud Swenson http://gemsofislamism.tripod.com/	0
71872	Yah, me di cuenta de que pendejo bastante rápido.	1
