	comment_text	toxic
56598	Smetti di usare IP anonimi per spingere il tuo POV. Sei un licenziatario bloccato. Grazie.	0
77149	Il problema è apparentemente risolto poiché ora è nell'area Prep 3. talk	0
47811	== Ulteriori informazioni == Penso che prima del grafico, dovrebbero essere incluse più informazioni sulle visualizzazioni dei video, come gli artisti più popolari e altri ...	0
29320	. Ah, questo riporta alla mente ricordi di quando portavi l'acqua per Brian G. Crawford. Perché non essere in anticipo sulla tua agenda qui?	0
11133	questo non è vero !!!	0
82094	persone. assicurati di raccogliere la tua spazzatura! NO LITTERING	0
96760	così può scappare o ucciderli	0
93848	]] [[User talk: Bruce1ee / Archive 6 | gennaio 2012 - dicembre 2012	0
48040	Cosa significa? E in che modo è diverso?	0
11764	Almeno alcune delle informazioni (es. Piè di pagina) sono duplicate di Elezioni in Australia. Unisci? '' '[contributi]	0
45798	3RR ripristina Non ho notato di aver esagerato con il tuo rapporto 3RR, ma se l'ho fatto inavvertitamente, mi dispiace. Ho aggiunto il mio ora sopra il tuo. Grazie.	0
66456	Marchio. Il tuo seme non è vitale. Se dovessi procreare, i bambini sarebbero omosessuali. Non procreare Marco, abbastanza è abbastanza.	1
55179	: Non sei il capo a decidere.	0
80348	Abbi pietà di me, allora. Pensavo che Bgwhite si riferisse a una conversione immediata. Mandarax, devi davvero iniziare a guardare programmi TV migliori. O, meglio ancora, nessuno. ::	0
50341	Hai un brit? Questo è per te! 80.99.29.195	0
11215	Si prega di fare riferimento a per le prove. Vedi [registro blocchi] e blocchi automatici correnti .__ NOINDEX__	0
9752	Il latino è lo stesso dell'inglese right.66.131.190.6 _	0
35593	: Giocano in coppe statali, come la Copa Paulista de Futebol o la Copa Santa Catarina. La maggior parte degli stati ha tazze di stato.	0
36135	Terrorismo sionista Perché segui ogni volta e sei allineato con i tuoi amici ebrei. Non so come ti hanno fatto diventare amministratore ??????????	0
31449	Questo è vero. L'ho spostato al suo posto. Va bene adesso?	0
56505	REDIRECT Talk: stagione 2007–08 SL Benfica	0
36098	Non sono riuscito a trovarlo. Potresti citarmi dalla fonte per favore?	0
45038	solo qui per correggere gli errori di Qubo.	0
68191	"""== Lame == Gesù. Che band zoppa. Questo articolo non riflette adeguatamente la monumentale zoppia di """"mantran""""."""	0
80224	Scusa per il disturbo, Tim; ugh, questo è il motivo per cui sto lontano dalle immagini. (Parlare)	0
